,start,end
0,200513205001,200513205120
1,200513103001,200513103120
2,200513104001,200513104120
3,200513105001,200513105120
4,200513106001,200513106120
5,200613205001,200613205120
6,200613103001,200613103120
7,200613104001,200613104120
8,200613105001,200613105120
9,200613106001,200613106120
10,200713205001,200713205120
11,200713103001,200713103120
12,200713104001,200713104120
13,200713105001,200713105120
14,200713106001,200713106120
15,232913205001,232913205120
16,232913103001,232913103120
17,232913104001,232913104120
18,232913105001,232913105120
19,232913106001,232913106120
20,233813205001,233813205120
21,233813103001,233813103120
22,233813104001,233813104120
23,233813105001,233813105120
24,233813106001,233813106120
25,234213205001,234213205120
26,234213103001,234213103120
27,234213104001,234213104120
28,234213105001,234213105120
29,234213106001,234213106120
30,234813205001,234813205120
31,234813103001,234813103120
32,234813104001,234813104120
33,234813105001,234813105120
34,234813106001,234813106120
35,234913205001,234913205120
36,234913103001,234913103120
37,234913104001,234913104120
38,234913105001,234913105120
39,234913106001,234913106120
40,235113205001,235113205120
41,235113103001,235113103120
42,235113104001,235113104120
43,235113105001,235113105120
44,235113106001,235113106120
45,235413205001,235413205120
46,235413103001,235413103120
47,235413104001,235413104120
48,235413105001,235413105120
49,235413106001,235413106120
50,235713205001,235713205120
51,235713103001,235713103120
52,235713104001,235713104120
53,235713105001,235713105120
54,235713106001,235713106120
55,236013205001,236013205120
56,236013103001,236013103120
57,236013104001,236013104120
58,236013105001,236013105120
59,236013106001,236013106120
60,236113205001,236113205120
61,236113103001,236113103120
62,236113104001,236113104120
63,236113105001,236113105120
64,236113106001,236113106120
65,236413205001,236413205120
66,236413103001,236413103120
67,236413104001,236413104120
68,236413105001,236413105120
69,236413106001,236413106120
70,236513205001,236513205120
71,236513103001,236513103120
72,236513104001,236513104120
73,236513105001,236513105120
74,236513106001,236513106120
75,236713205001,236713205120
76,236713103001,236713103120
77,236713104001,236713104120
78,236713105001,236713105120
79,236713106001,236713106120
80,236813205001,236813205120
81,236813103001,236813103120
82,236813104001,236813104120
83,236813105001,236813105120
84,236813106001,236813106120
85,237013205001,237013205120
86,237013103001,237013103120
87,237013104001,237013104120
88,237013105001,237013105120
89,237013106001,237013106120
90,237213205001,237213205120
91,237213103001,237213103120
92,237213104001,237213104120
93,237213105001,237213105120
94,237213106001,237213106120
95,237313205001,237313205120
96,237313103001,237313103120
97,237313104001,237313104120
98,237313105001,237313105120
99,237313106001,237313106120
100,237713205001,237713205120
101,237713103001,237713103120
102,237713104001,237713104120
103,237713105001,237713105120
104,237713106001,237713106120
105,260413205001,260413205120
106,260413103001,260413103120
107,260413104001,260413104120
108,260413105001,260413105120
109,260413106001,260413106120
110,265013205001,265013205120
111,265013103001,265013103120
112,265013104001,265013104120
113,265013105001,265013105120
114,265013106001,265013106120
115,265413205001,265413205120
116,265413103001,265413103120
117,265413104001,265413104120
118,265413105001,265413105120
119,265413106001,265413106120
120,267313205001,267313205120
121,267313103001,267313103120
122,267313104001,267313104120
123,267313105001,267313105120
124,267313106001,267313106120
125,270413205001,270413205120
126,270413103001,270413103120
127,270413104001,270413104120
128,270413105001,270413105120
129,270413106001,270413106120
130,270613205001,270613205120
131,270613103001,270613103120
132,270613104001,270613104120
133,270613105001,270613105120
134,270613106001,270613106120
135,270813205001,270813205120
136,270813103001,270813103120
137,270813104001,270813104120
138,270813105001,270813105120
139,270813106001,270813106120
140,271013205001,271013205120
141,271013103001,271013103120
142,271013104001,271013104120
143,271013105001,271013105120
144,271013106001,271013106120
145,271213205001,271213205120
146,271213103001,271213103120
147,271213104001,271213104120
148,271213105001,271213105120
149,271213106001,271213106120
150,271413205001,271413205120
151,271413103001,271413103120
152,271413104001,271413104120
153,271413105001,271413105120
154,271413106001,271413106120
155,271613205001,271613205120
